id,car_id,service_date,description,cost,odometer_reading
14969,10487,2023-10-11,Suspension repair,611.31,47924
14970,13226,2023-08-08,Routine oil and filter change,620.76,63769
14971,8686,2024-10-17,Headlight replacement,666.07,12509
14972,5524,2023-08-25,Engine diagnostic and tune-up,937.63,5966
14973,3254,2023-03-21,Tire rotation and balancing,158.5,18174
14974,2090,2022-07-18,Battery replacement,915.08,72523
14975,10769,2025-10-02,Engine diagnostic and tune-up,654.6,76074
14976,9784,2023-12-10,Engine diagnostic and tune-up,357.17,18903
14977,5614,2022-09-16,Engine diagnostic and tune-up,803.63,31412
14978,2873,2023-06-17,Spark plug replacement,803.83,1687
14979,10460,2025-10-30,Brake pad replacement,402.31,30892
14980,4181,2024-03-22,Air conditioning service,888.42,168796
14981,5076,2026-02-01,Coolant system flush,705.49,16266
14982,13191,2025-09-06,Brake pad replacement,971.92,2731
14983,11129,2026-05-13,Air conditioning service,211.55,16620
14984,7494,2024-08-04,Windshield wiper replacement,901.64,8614
14985,7753,2023-08-25,Spark plug replacement,244.08,5376
14986,1402,2023-02-06,Suspension repair,490.61,11481
14987,2007,2023-12-30,Windshield wiper replacement,101.88,13742
14988,10910,2023-09-29,Battery replacement,386.14,30952
14989,4350,2025-12-15,Wheel alignment,357.57,59813
14990,5419,2026-02-20,Battery replacement,195.28,3314
14991,1871,2022-12-30,Coolant system flush,519.06,24705
14992,14721,2024-03-06,Windshield wiper replacement,331.47,490
14993,14694,2025-05-18,Wheel alignment,401.12,13920
14994,13772,2024-01-07,Wheel alignment,954.88,108091
14995,3476,2024-04-16,Wheel alignment,980.99,70395
14996,14674,2024-08-12,Air conditioning service,680.35,1358
14997,7854,2025-11-23,Air conditioning service,658.61,4274
14998,8905,2023-10-25,Coolant system flush,365.49,47424
14999,12312,2023-03-17,Coolant system flush,733.26,1789
15000,1242,2025-01-21,Full detailing and cleaning,898.92,23721
15001,13842,2023-09-11,Battery replacement,461.3,47825
15002,4457,2025-07-09,Suspension repair,99.13,58179
15003,10165,2026-04-14,Wheel alignment,93.03,16186
15004,3643,2025-08-12,Coolant system flush,780,3756
15005,5715,2025-02-26,Brake pad replacement,96.06,7990
15006,7778,2023-03-15,Windshield wiper replacement,277.06,2117
15007,1415,2022-09-20,Full detailing and cleaning,320.7,8661
15008,1391,2024-01-09,Brake pad replacement,213.47,34913
15009,11573,2023-01-30,Suspension repair,200.54,16213
15010,13979,2022-09-19,Full detailing and cleaning,655.36,132549
15011,427,2023-10-10,Spark plug replacement,75.85,13756
15012,496,2023-08-09,Battery replacement,585.13,18271
15013,6160,2025-07-13,Coolant system flush,570.64,4849
15014,3308,2026-06-17,Full detailing and cleaning,745.4,48442
15015,11833,2022-11-29,Routine oil and filter change,348.17,22303
15016,5987,2023-02-05,Transmission fluid flush,503.29,116040
15017,3008,2026-05-27,Transmission fluid flush,72.13,43754
15018,9790,2023-09-19,Tire rotation and balancing,604.59,5541
15019,1564,2025-05-15,Engine diagnostic and tune-up,724.95,34811
15020,19,2022-12-25,Suspension repair,263.55,44343
15021,6988,2025-04-23,Transmission fluid flush,101.3,94964
15022,14386,2023-08-14,Wheel alignment,343.95,28492
15023,6769,2025-02-16,Full detailing and cleaning,123.5,56257
15024,5135,2025-02-08,Tire rotation and balancing,913.77,8066
15025,13705,2025-10-22,Suspension repair,514.96,46305
15026,14307,2022-12-02,Spark plug replacement,176.87,43965
15027,11264,2025-01-19,Transmission fluid flush,672.94,30420
15028,9919,2023-08-20,Engine diagnostic and tune-up,867.32,117760
15029,7082,2022-11-19,Engine diagnostic and tune-up,750.25,12405
15030,1098,2025-02-21,Annual safety inspection,603.2,74844
15031,8547,2022-10-09,Spark plug replacement,377.89,137800
15032,3198,2024-08-16,Full detailing and cleaning,656.64,15670
15033,4840,2023-02-23,Spark plug replacement,367.45,31413
15034,716,2023-08-26,Spark plug replacement,654.03,118808
15035,7989,2023-02-23,Routine oil and filter change,317.62,33800
15036,9908,2024-06-20,Transmission fluid flush,962.16,47341
15037,3984,2026-03-29,Brake pad replacement,386.71,12590
15038,10577,2025-03-15,Spark plug replacement,342.58,92777
15039,11630,2022-09-15,Transmission fluid flush,718.72,29327
15040,10802,2025-11-04,Windshield wiper replacement,909.17,29615
15041,10225,2024-08-10,Routine oil and filter change,404.16,2642
15042,1591,2025-11-10,Coolant system flush,434.57,11941
15043,1543,2026-06-14,Coolant system flush,277.62,6620
15044,14218,2023-11-18,Brake pad replacement,218.52,5159
15045,3890,2026-01-09,Engine diagnostic and tune-up,974.04,1838
15046,13723,2023-12-07,Full detailing and cleaning,622.33,27019
15047,3358,2022-07-20,Full detailing and cleaning,864.89,19381
15048,11790,2024-12-10,Headlight replacement,725.05,1699
15049,14222,2026-05-13,Headlight replacement,417.08,114144
15050,4199,2023-03-29,Windshield wiper replacement,601.67,3760
15051,9079,2023-05-09,Tire rotation and balancing,223.04,50042
15052,14586,2022-08-27,Coolant system flush,211.36,41934
15053,14983,2024-02-14,Headlight replacement,42.93,70182
15054,11866,2022-09-05,Windshield wiper replacement,187.65,70181
15055,11284,2023-07-13,Spark plug replacement,786.26,44629
15056,5041,2025-12-26,Suspension repair,436.16,118953
15057,7306,2024-10-13,Transmission fluid flush,663.68,23376
15058,765,2025-01-11,Tire rotation and balancing,842.17,4064
15059,5451,2023-05-23,Suspension repair,585.36,4222
15060,14318,2023-03-22,Spark plug replacement,90.66,134789
15061,1987,2024-02-27,Spark plug replacement,693.96,10050
15062,7579,2024-11-22,Routine oil and filter change,893.88,139119
15063,5063,2023-06-14,Engine diagnostic and tune-up,812.6,87255
15064,683,2025-08-06,Windshield wiper replacement,970.61,29111
15065,121,2025-08-19,Full detailing and cleaning,54.78,105150
15066,10164,2026-04-15,Battery replacement,270.27,83039
15067,9289,2023-02-04,Transmission fluid flush,41.51,64789
15068,4663,2023-08-02,Transmission fluid flush,436.81,69393
15069,5582,2025-12-18,Wheel alignment,685.73,47946
15070,2844,2026-01-18,Air conditioning service,871.04,42537
15071,4788,2025-12-22,Air conditioning service,873.28,23218
15072,12439,2023-04-20,Air conditioning service,967.7,148281
15073,3336,2025-12-02,Annual safety inspection,112.42,5642
15074,9060,2026-04-15,Suspension repair,689.07,29452
15075,2631,2025-03-01,Engine diagnostic and tune-up,472.31,24548
15076,12928,2025-04-23,Spark plug replacement,241.75,35771
15077,12183,2023-07-20,Headlight replacement,524.89,557
15078,5084,2022-10-06,Spark plug replacement,617.29,15623
15079,10863,2024-03-19,Wheel alignment,418.78,1251
15080,391,2024-01-25,Routine oil and filter change,417.82,9284
15081,858,2025-04-25,Coolant system flush,829.21,34609
15082,10131,2023-04-26,Annual safety inspection,133.74,1654
15083,12651,2023-03-20,Transmission fluid flush,850.41,6441
15084,5194,2025-05-08,Headlight replacement,310.88,2706
15085,109,2024-03-15,Wheel alignment,51.47,12899
15086,14747,2025-11-21,Full detailing and cleaning,723.47,9740
15087,12140,2022-07-19,Full detailing and cleaning,249.44,4077
15088,8982,2023-08-06,Full detailing and cleaning,252.25,94630
15089,3606,2025-11-19,Tire rotation and balancing,167.38,2183
15090,406,2024-02-03,Suspension repair,852.76,11995
15091,13724,2025-07-24,Routine oil and filter change,780.95,5340
15092,4392,2023-03-22,Wheel alignment,791.9,31672
15093,5391,2025-02-09,Battery replacement,658.88,4100
15094,7580,2022-07-27,Coolant system flush,73.11,28370
15095,4003,2023-07-23,Wheel alignment,584.34,15160
15096,5144,2024-03-15,Tire rotation and balancing,642.12,24303
15097,1857,2025-10-17,Coolant system flush,927.76,16561
15098,12460,2026-06-10,Full detailing and cleaning,74.4,104610
15099,1769,2023-03-15,Brake pad replacement,761.86,19939
15100,7851,2026-04-23,Battery replacement,371.71,5932
15101,11030,2023-05-26,Battery replacement,516.67,162181
15102,9284,2024-01-31,Tire rotation and balancing,734.96,34976
15103,2476,2024-04-12,Suspension repair,53.11,36089
15104,13081,2026-06-13,Wheel alignment,478.98,25703
15105,7247,2023-04-04,Headlight replacement,245.78,4626
15106,3063,2024-07-16,Engine diagnostic and tune-up,945.12,472
15107,11646,2023-08-28,Wheel alignment,170.07,111467
15108,10042,2025-07-01,Routine oil and filter change,902.01,26552
15109,13951,2024-02-14,Transmission fluid flush,922.86,101017
15110,13664,2025-07-04,Routine oil and filter change,692.11,64259
15111,9205,2024-02-01,Suspension repair,808.1,4847
15112,4368,2023-10-23,Wheel alignment,812.66,6247
15113,13530,2024-08-11,Engine diagnostic and tune-up,512.03,16988
15114,5697,2026-03-25,Engine diagnostic and tune-up,487.45,2600
15115,75,2025-09-27,Spark plug replacement,640.53,15577
15116,9639,2025-08-20,Windshield wiper replacement,902.75,79850
15117,10492,2024-03-02,Transmission fluid flush,842.57,22359
15118,11673,2024-01-01,Suspension repair,431.7,21735
15119,4735,2023-12-31,Annual safety inspection,375.35,63736
15120,11272,2026-05-11,Spark plug replacement,639.31,3245
15121,11600,2024-09-29,Coolant system flush,609.99,30787
15122,6132,2024-01-17,Brake pad replacement,171.6,7650
15123,4380,2023-03-31,Engine diagnostic and tune-up,821.89,33240
15124,8272,2023-03-01,Annual safety inspection,702.54,5513
15125,8240,2023-01-26,Transmission fluid flush,172.44,38877
15126,4382,2023-02-21,Engine diagnostic and tune-up,447.79,126559
15127,14572,2023-04-19,Transmission fluid flush,96.76,19643
15128,8116,2023-01-22,Full detailing and cleaning,641.75,97435
15129,4576,2023-03-23,Windshield wiper replacement,100.96,16078
15130,12354,2024-10-24,Tire rotation and balancing,172.04,39826
15131,5970,2026-06-17,Air conditioning service,117.15,24726
15132,8785,2024-08-30,Wheel alignment,368.11,59697
15133,11045,2023-05-08,Headlight replacement,203.57,69907
15134,1528,2024-07-29,Engine diagnostic and tune-up,279.44,5151
15135,9025,2024-11-07,Annual safety inspection,720.28,31349
15136,4517,2024-12-25,Battery replacement,155.17,10876
15137,6314,2023-11-24,Windshield wiper replacement,679.75,56285
15138,14205,2025-10-15,Transmission fluid flush,129.16,9568
15139,13545,2025-06-18,Annual safety inspection,348.98,73667
15140,12595,2023-09-24,Transmission fluid flush,625.9,5801
15141,1473,2024-04-23,Suspension repair,300.28,62423
15142,3964,2024-10-30,Spark plug replacement,163.59,26792
15143,8627,2025-02-26,Transmission fluid flush,795.5,4570
15144,12841,2025-07-04,Headlight replacement,602.42,69551
15145,3539,2024-01-05,Headlight replacement,53.04,45478
15146,7419,2023-09-04,Routine oil and filter change,916.2,65381
15147,4875,2023-09-03,Full detailing and cleaning,597.91,4308
15148,11093,2025-07-29,Headlight replacement,304.42,24380
15149,9551,2023-10-09,Windshield wiper replacement,982.78,1466
15150,6122,2022-10-30,Annual safety inspection,96.92,85646
15151,3540,2024-07-27,Battery replacement,913.68,29913
15152,10630,2023-03-23,Annual safety inspection,329.38,116078
15153,1611,2022-09-17,Headlight replacement,148.5,10866
15154,6944,2025-05-28,Brake pad replacement,482.8,14840
15155,10624,2024-03-24,Brake pad replacement,769.88,64497
15156,8446,2023-12-23,Spark plug replacement,666.59,60022
15157,6289,2023-03-08,Full detailing and cleaning,971.53,8116
15158,3492,2023-01-04,Coolant system flush,645.03,4469
15159,6287,2022-10-15,Coolant system flush,637.25,98102
15160,8936,2025-05-10,Air conditioning service,766.48,16627
15161,13073,2022-09-28,Battery replacement,458.98,2520
15162,2823,2023-01-13,Transmission fluid flush,772.67,78366
15163,9426,2026-02-01,Routine oil and filter change,494.57,438
15164,7983,2025-01-03,Brake pad replacement,462.7,13125
15165,13520,2023-03-29,Wheel alignment,763.85,22567
15166,11735,2024-07-31,Windshield wiper replacement,329.29,7530
15167,313,2023-04-08,Full detailing and cleaning,991.97,10398
15168,5358,2025-05-05,Spark plug replacement,679.85,108242
15169,10269,2024-11-16,Battery replacement,630.38,27546
15170,1101,2023-12-03,Full detailing and cleaning,934.04,1770
15171,10903,2025-04-20,Annual safety inspection,470.75,7556
15172,12427,2025-01-26,Engine diagnostic and tune-up,75.32,2286
15173,5865,2023-07-12,Annual safety inspection,617.84,2624
15174,1669,2025-03-17,Windshield wiper replacement,43.25,18815
15175,2545,2025-07-01,Air conditioning service,326.91,13876
15176,2730,2026-05-17,Headlight replacement,415.66,17397
15177,11238,2024-09-21,Annual safety inspection,703.88,2465
15178,3180,2026-05-18,Routine oil and filter change,368.57,1683
15179,6540,2024-10-02,Air conditioning service,68.39,48606
15180,156,2026-01-29,Battery replacement,522.34,24798
15181,8608,2023-01-22,Brake pad replacement,233.42,1763
15182,13171,2024-03-16,Tire rotation and balancing,526.3,83562
15183,8645,2023-10-19,Coolant system flush,520.29,3487
15184,12715,2025-08-21,Battery replacement,883.74,69080
15185,8909,2025-11-03,Transmission fluid flush,87.37,23980
15186,1135,2022-12-09,Wheel alignment,215.67,25708
15187,12258,2024-01-14,Battery replacement,915.83,29217
15188,11909,2024-11-19,Annual safety inspection,626.64,6807
15189,10925,2023-10-05,Headlight replacement,633.95,5203
15190,13680,2023-08-20,Annual safety inspection,118.69,982
15191,12651,2026-04-11,Full detailing and cleaning,891.5,7919
15192,8830,2023-03-24,Coolant system flush,128.05,94430
15193,8457,2025-11-22,Suspension repair,690.76,4803
15194,9573,2025-08-30,Transmission fluid flush,852.18,2801
15195,11604,2022-12-17,Suspension repair,605.27,12034
15196,7214,2024-04-06,Engine diagnostic and tune-up,393.77,56382
15197,4482,2022-07-09,Battery replacement,415.81,510
15198,11492,2022-08-06,Transmission fluid flush,358.58,8773
15199,64,2026-04-22,Battery replacement,926.11,32323
15200,10329,2025-08-28,Spark plug replacement,487.14,51619
15201,14502,2024-03-21,Brake pad replacement,508.04,97869
15202,8719,2023-10-14,Annual safety inspection,888.52,24831
15203,14674,2023-04-25,Headlight replacement,535.93,1799
15204,11155,2022-12-26,Wheel alignment,905.56,44123
15205,2834,2025-10-28,Routine oil and filter change,134.04,34328
15206,8549,2023-09-26,Headlight replacement,158.56,33401
15207,11316,2023-08-24,Engine diagnostic and tune-up,141.4,72380
15208,8894,2025-09-30,Transmission fluid flush,867.59,9368
15209,7073,2025-04-13,Tire rotation and balancing,454.68,27563
15210,11029,2026-05-25,Air conditioning service,497.32,4247
15211,10153,2023-10-01,Full detailing and cleaning,574.98,1693
15212,4917,2023-01-27,Tire rotation and balancing,557.75,42009
15213,8480,2025-03-25,Air conditioning service,68.15,27429
15214,10902,2026-01-05,Coolant system flush,896.3,5357
15215,5652,2024-02-09,Wheel alignment,283.56,29931
15216,8405,2023-01-11,Wheel alignment,608.45,66736
15217,459,2026-06-11,Air conditioning service,614.31,40042
15218,9314,2024-11-12,Suspension repair,505.38,23363
15219,9245,2024-10-22,Transmission fluid flush,863.21,1395
15220,1435,2025-06-14,Wheel alignment,747.55,9435
15221,616,2023-12-18,Headlight replacement,959.7,8671
15222,13516,2023-01-09,Routine oil and filter change,117,7016
15223,9095,2023-12-15,Windshield wiper replacement,861.32,89949
15224,3927,2023-05-25,Spark plug replacement,158.3,36860
15225,10493,2023-08-08,Wheel alignment,742.74,6482
15226,7616,2024-05-08,Brake pad replacement,231.71,143158
15227,2324,2023-11-15,Full detailing and cleaning,372.69,35420
15228,8775,2022-10-18,Windshield wiper replacement,100.75,26413
15229,13766,2023-04-06,Battery replacement,120.63,21031
15230,10601,2025-09-12,Battery replacement,415.14,43533
15231,5228,2024-05-18,Battery replacement,417.64,24042
15232,13201,2024-12-12,Spark plug replacement,447.16,16650
15233,9206,2025-03-23,Headlight replacement,664.28,2204
15234,2143,2025-01-31,Tire rotation and balancing,746.57,943
15235,7821,2025-10-21,Windshield wiper replacement,153.05,59988
15236,23,2025-07-26,Transmission fluid flush,140.76,149715
15237,6147,2024-01-16,Wheel alignment,706.71,40717
15238,12018,2025-08-06,Transmission fluid flush,134.02,12752
15239,5546,2026-01-16,Suspension repair,579.31,24816
15240,12892,2024-05-18,Spark plug replacement,658.64,10792
15241,8358,2022-10-16,Spark plug replacement,534.01,22035
15242,14629,2023-10-02,Routine oil and filter change,675.71,81380
15243,13998,2025-03-13,Annual safety inspection,40.45,24086
15244,11143,2025-05-19,Headlight replacement,232.93,128382
15245,11743,2022-07-07,Air conditioning service,473.25,9775
15246,9918,2024-08-12,Air conditioning service,40.17,1634
15247,1586,2025-08-19,Brake pad replacement,480.83,63318
15248,3626,2025-12-31,Brake pad replacement,398.98,20518
15249,1811,2024-07-16,Engine diagnostic and tune-up,878.37,74484
15250,6359,2022-09-24,Routine oil and filter change,51.82,9716
15251,4588,2023-11-13,Full detailing and cleaning,441.52,875
15252,6550,2023-07-04,Tire rotation and balancing,652.03,140824
15253,13410,2023-11-16,Full detailing and cleaning,973.86,43677
15254,5182,2025-04-28,Suspension repair,863.57,2141
15255,10235,2023-12-02,Full detailing and cleaning,418.2,60950
15256,11485,2024-05-08,Engine diagnostic and tune-up,804.17,9103
15257,14081,2023-01-13,Air conditioning service,460.92,20497
15258,1114,2023-02-11,Engine diagnostic and tune-up,875.57,92970
15259,9935,2023-12-14,Brake pad replacement,810.48,15555
15260,9760,2024-05-18,Annual safety inspection,205.27,25801
15261,10493,2023-12-05,Routine oil and filter change,899.12,4839
15262,1180,2023-04-23,Wheel alignment,87.39,25779
15263,11259,2022-07-31,Routine oil and filter change,916.21,29834
15264,8241,2023-03-09,Engine diagnostic and tune-up,272.09,44359
15265,4976,2025-09-12,Battery replacement,876.37,1611
15266,8071,2026-02-17,Tire rotation and balancing,155.44,119031
15267,1037,2024-05-09,Routine oil and filter change,362.8,25745
15268,11337,2025-10-07,Wheel alignment,596.98,6434
15269,14791,2023-07-26,Battery replacement,308.81,4382
15270,9292,2022-09-17,Tire rotation and balancing,776.87,18496
15271,8727,2025-04-05,Transmission fluid flush,505.62,4706
15272,11631,2024-05-05,Full detailing and cleaning,891.78,23721
15273,12540,2025-03-28,Tire rotation and balancing,59.53,40174
15274,9690,2023-09-09,Coolant system flush,949.67,3043
15275,3769,2023-06-23,Engine diagnostic and tune-up,181.11,12004
15276,1763,2026-02-22,Spark plug replacement,555.83,1109
15277,3222,2023-03-07,Wheel alignment,984.1,36602
15278,5633,2023-01-24,Transmission fluid flush,480.43,18104
15279,990,2024-03-24,Brake pad replacement,896.69,19662
15280,1568,2025-04-08,Brake pad replacement,688.46,57523
15281,1614,2025-11-18,Engine diagnostic and tune-up,820.78,2558
15282,13754,2022-07-18,Annual safety inspection,958.37,44148
15283,4779,2024-09-17,Windshield wiper replacement,994.81,31350
15284,6250,2024-06-24,Battery replacement,903.99,657
15285,9923,2025-09-21,Headlight replacement,739.92,1015
15286,2766,2024-02-12,Coolant system flush,364.85,9821
15287,5679,2025-10-05,Battery replacement,898.36,4280
15288,1977,2025-08-30,Headlight replacement,878.9,159362
15289,5013,2023-11-28,Transmission fluid flush,496.21,45462
15290,8438,2022-12-11,Transmission fluid flush,68.79,67225
15291,791,2024-06-04,Tire rotation and balancing,609.07,8001
15292,21,2025-06-25,Tire rotation and balancing,469.84,85377
15293,11656,2026-06-08,Wheel alignment,794,37640
15294,8628,2025-02-17,Brake pad replacement,896.62,18805
15295,14395,2025-09-02,Brake pad replacement,100.06,26143
15296,4968,2024-05-27,Battery replacement,697.02,45122
15297,5664,2025-08-08,Battery replacement,407.54,25098
15298,14954,2026-04-09,Annual safety inspection,373.65,22895
15299,11593,2024-03-10,Full detailing and cleaning,802.55,23695
15300,37,2024-10-02,Suspension repair,639.22,27912
15301,7974,2025-11-06,Air conditioning service,534.51,59695
15302,5683,2024-09-27,Full detailing and cleaning,633.02,27745
15303,10184,2024-12-26,Transmission fluid flush,974.76,10027
15304,2610,2023-10-03,Annual safety inspection,979.17,8438
15305,3342,2024-10-10,Headlight replacement,137.83,5561
15306,3301,2023-12-10,Coolant system flush,77.16,6766
15307,5636,2025-06-03,Windshield wiper replacement,103.26,61165
15308,7985,2022-11-10,Tire rotation and balancing,634.8,98766
15309,3925,2026-02-08,Spark plug replacement,397.14,100295
15310,9501,2024-06-11,Tire rotation and balancing,329.14,4951
15311,7929,2023-02-27,Brake pad replacement,735.04,6382
15312,2680,2025-04-29,Engine diagnostic and tune-up,387.12,10408
15313,8209,2023-04-17,Battery replacement,748.87,7664
15314,8467,2024-03-07,Transmission fluid flush,783.74,16928
15315,12152,2023-02-23,Tire rotation and balancing,686.15,38203
15316,9268,2024-11-17,Air conditioning service,797.3,103662
15317,14284,2024-08-12,Suspension repair,553.27,12795
15318,6872,2023-10-31,Air conditioning service,620.99,79254
15319,10184,2026-06-04,Full detailing and cleaning,47.21,83533
15320,11176,2023-09-05,Windshield wiper replacement,735.4,9681
15321,3287,2023-05-30,Routine oil and filter change,599.71,9930
15322,712,2026-04-01,Coolant system flush,79.03,22238
15323,4786,2025-06-07,Tire rotation and balancing,75.31,8719
15324,5500,2024-11-30,Windshield wiper replacement,932.19,53449
15325,2157,2023-03-09,Windshield wiper replacement,532.02,10770
15326,3972,2026-02-03,Suspension repair,151.11,51203
15327,10973,2022-12-28,Air conditioning service,104.28,41110
15328,13237,2025-05-24,Brake pad replacement,438.94,30640
15329,10475,2025-08-29,Annual safety inspection,341.47,9237
15330,13064,2025-04-17,Wheel alignment,261.72,35054
15331,13838,2023-09-04,Windshield wiper replacement,732.17,85446
15332,3834,2024-05-11,Brake pad replacement,222.71,21765
15333,13868,2022-09-12,Windshield wiper replacement,720.32,604
15334,5453,2023-11-12,Tire rotation and balancing,329.82,39
15335,6002,2025-03-12,Full detailing and cleaning,92.1,108913
15336,14919,2024-09-13,Annual safety inspection,744.61,18824
15337,13894,2026-03-02,Wheel alignment,937.65,19512
15338,1535,2023-09-19,Suspension repair,917.65,13661
15339,4144,2024-07-25,Brake pad replacement,986.28,66839
15340,8154,2026-02-24,Air conditioning service,203.5,14388
15341,11918,2026-06-07,Brake pad replacement,926,3414
15342,13756,2025-08-15,Routine oil and filter change,277.23,57944
15343,5466,2025-02-06,Windshield wiper replacement,647.16,11201
15344,7127,2026-03-31,Air conditioning service,49.17,10347
15345,6962,2023-01-03,Brake pad replacement,698.73,11520
15346,12729,2022-10-11,Routine oil and filter change,819.1,24
15347,13939,2022-07-21,Air conditioning service,134.68,112038
15348,13395,2023-11-09,Battery replacement,382.61,62486
15349,2183,2025-09-08,Headlight replacement,204.42,15522
15350,8105,2024-11-28,Brake pad replacement,683.5,82384
15351,5849,2023-09-22,Wheel alignment,395.28,106914
15352,7376,2025-02-17,Windshield wiper replacement,968.9,38025
15353,10327,2023-12-01,Wheel alignment,932.05,55217
15354,6874,2022-07-06,Annual safety inspection,687.32,2593
15355,4859,2025-05-14,Wheel alignment,268.41,50601
15356,4233,2024-10-15,Routine oil and filter change,405.7,77709
15357,3846,2025-03-25,Routine oil and filter change,643.75,44064
15358,6578,2025-05-06,Engine diagnostic and tune-up,706.35,1051
15359,1468,2025-04-21,Full detailing and cleaning,961.56,95638
15360,10350,2025-06-29,Battery replacement,916.89,34995
15361,13503,2023-12-29,Tire rotation and balancing,84.69,1012
15362,5016,2024-01-19,Suspension repair,344.63,14913
15363,9491,2025-04-03,Full detailing and cleaning,683.35,1058
15364,8369,2023-07-12,Windshield wiper replacement,50.7,11173
15365,3309,2023-11-18,Brake pad replacement,572.13,68042
15366,5480,2023-02-06,Engine diagnostic and tune-up,589.66,30622
15367,4685,2022-09-24,Full detailing and cleaning,505.08,12588
15368,9023,2025-08-03,Transmission fluid flush,309.71,26206
15369,9820,2024-02-23,Suspension repair,756.47,3534
15370,10940,2022-12-27,Headlight replacement,979.2,24832
15371,9086,2024-05-11,Transmission fluid flush,403.3,10734
15372,14909,2024-08-24,Battery replacement,879.88,26743
15373,12731,2022-12-19,Air conditioning service,817.68,31002
15374,4555,2024-02-22,Suspension repair,139.11,1047
15375,3571,2026-05-04,Transmission fluid flush,415.61,91009
15376,13261,2025-10-31,Coolant system flush,445.66,2907
15377,11689,2026-03-19,Headlight replacement,297.91,7752
15378,3142,2022-07-20,Annual safety inspection,952.03,26659
15379,4677,2023-06-30,Brake pad replacement,273.35,18551
15380,13488,2022-09-01,Transmission fluid flush,919.84,12130
15381,12742,2026-04-26,Suspension repair,422.02,1381
15382,2764,2025-03-27,Wheel alignment,380.88,167
15383,5499,2025-12-24,Wheel alignment,313.58,15080
15384,814,2026-01-21,Tire rotation and balancing,746.18,6090
15385,2422,2022-10-30,Routine oil and filter change,497.23,24328
15386,6783,2024-05-14,Wheel alignment,774.7,26376
15387,14657,2026-03-14,Suspension repair,935.13,45877
15388,5168,2026-04-23,Engine diagnostic and tune-up,939.56,19288
15389,14502,2026-05-15,Full detailing and cleaning,811.58,175838
15390,6659,2025-10-02,Engine diagnostic and tune-up,591.36,5105
15391,11642,2026-05-20,Battery replacement,824.15,1521
15392,6522,2026-01-26,Tire rotation and balancing,948.74,57514
15393,9080,2023-12-30,Windshield wiper replacement,228.17,53220
15394,2161,2022-09-29,Routine oil and filter change,97.09,88296
15395,7920,2023-11-08,Air conditioning service,917.07,5162
15396,13222,2025-11-05,Tire rotation and balancing,270.11,43619
15397,1264,2022-11-02,Suspension repair,292.18,21960
15398,4621,2023-08-12,Routine oil and filter change,644.91,55189
15399,2920,2024-04-01,Brake pad replacement,263.51,41642
15400,4604,2022-12-04,Brake pad replacement,527.26,1687
15401,4908,2025-04-09,Coolant system flush,703.56,20747
15402,10597,2025-03-01,Coolant system flush,940.98,18710
15403,6432,2022-12-01,Full detailing and cleaning,261.66,26614
15404,13303,2023-11-28,Spark plug replacement,244.86,13457
15405,9909,2023-07-21,Brake pad replacement,93.31,4051
15406,6839,2023-08-29,Windshield wiper replacement,413.23,19077
15407,833,2022-06-30,Suspension repair,165.59,7627
15408,2112,2024-02-01,Air conditioning service,420.02,44832
15409,10770,2026-01-24,Suspension repair,679.6,5709
15410,6493,2024-11-13,Full detailing and cleaning,167.82,1948
15411,6103,2024-12-05,Full detailing and cleaning,664.82,103597
15412,8557,2023-10-28,Routine oil and filter change,682.87,60758
15413,5217,2023-12-23,Coolant system flush,428.58,24743
15414,12822,2025-01-12,Spark plug replacement,348.09,7031
15415,12685,2024-07-20,Tire rotation and balancing,181.71,21615
15416,7757,2026-06-13,Wheel alignment,897.49,37681
15417,2650,2025-06-23,Engine diagnostic and tune-up,392.02,15077
15418,11510,2023-06-18,Windshield wiper replacement,153.18,41097
15419,6628,2026-01-04,Spark plug replacement,730.79,101002
15420,703,2023-08-24,Wheel alignment,446.07,11220
15421,13685,2022-11-10,Annual safety inspection,624.61,7449
15422,14601,2023-05-12,Battery replacement,867.28,53314
15423,5886,2023-07-03,Windshield wiper replacement,972.43,19176
15424,8064,2026-02-06,Suspension repair,936.31,7827
15425,5151,2026-05-09,Brake pad replacement,170.85,10785
15426,14664,2023-06-23,Headlight replacement,528.7,144348
15427,7562,2024-03-29,Coolant system flush,714.03,21773
15428,9789,2025-07-31,Air conditioning service,357.37,219
15429,10128,2023-12-12,Battery replacement,119.07,4750
15430,13821,2023-05-09,Transmission fluid flush,813.21,63543
15431,10407,2025-12-27,Air conditioning service,433.66,117
15432,8883,2022-09-02,Spark plug replacement,299.6,6201
15433,11855,2026-03-14,Tire rotation and balancing,418.2,17059
15434,9124,2024-09-05,Windshield wiper replacement,488.11,33965
15435,6197,2026-05-06,Suspension repair,889.79,70986
15436,12686,2024-04-09,Battery replacement,335.2,29982
15437,13353,2024-11-06,Tire rotation and balancing,549.71,6367
15438,2562,2024-09-22,Transmission fluid flush,938.12,77646
15439,8586,2022-12-11,Wheel alignment,945.76,16494
15440,2562,2023-10-24,Spark plug replacement,137.85,72318
15441,5438,2025-01-07,Suspension repair,768.63,139727
15442,8292,2026-01-13,Brake pad replacement,444,46181
15443,3584,2023-02-02,Brake pad replacement,710.71,6908
15444,10291,2023-10-21,Brake pad replacement,998,41159
15445,3130,2024-07-31,Transmission fluid flush,367.34,120097
15446,10177,2023-06-03,Annual safety inspection,522.16,70104
